longitude,latitude,name,description
88494067,30332850,Pascagoula,Pascagoula (USA)
95342067,28913233,Freeport,Freeport (USA)
32594934,25974618,Maputo,Maputo (Mozambique)
31768317,28962467,Mtunzini,Mtunzini (South Africa)
43698021,23409263,Toliara,Toliara (Madagascar)
39296724,6801618,Dar es Salaam,Dar es Salaam (Tanzania)
39689281,4059715,Mombasa,Mombasa (Kenya)
43162051,11573246,Djibouti,Djibouti (Republic of Djibouti)
39141076,21531499,Jeddah,Jeddah (Saudi Arabia)
32691802,29603449,Ras Sudar,Ras Sudar (Egypt)
5374691,43285363,Marseille,Marseille (France)
72824370,19080607,Mumbai,Mumbai (India)
175583,51487028,London,London (United Kingdom)
9112827,38435653,Sesimbra,Sesimbra (Portugal)
6410500,36673267,Chipiona,Chipiona (Spain)
16858349,28379017,Buenavista,Buenavista (Spain (Canary Islands))
17448545,14672613,Dakar,Dakar (Senegal)
3935107,5244605,Abidjan,Abidjan (Cote d'Ivoire)
204417,5541717,Accra,Accra (Ghana)
2388533,6348550,Cotonou,Cotonou (Benin)
3428333,6422367,Lagos,Lagos (Nigeria)
9684117,4064500,Douala,Douala (Cameroon)
9420750,426917,Libreville,Libreville (Gabon)
13368433,8775950,Cacuaco,Cacuaco (Angola)
18443135,33708160,Melkbosstrand,Melkbosstrand (South Africa)
55279600,20995633,Saint-Paul,Saint-Paul (Reunion)
57447567,20501167,Baie du Jacotet,Baie du Jacotet (Mauritius)
100358133,5561650,Penang,Penang (Malaysia)
56359001,25124691,Al Fujaurah,Al Fujaurah (UAE)
37244355,19572421,Port Sudan,Port Sudan (Sudan)
39446592,15609167,Massawa,Massawa (Eritrea)
45359201,2033333,Mogadishu,Mogadishu (Somalia)
14523667,22674000,Swakopmunt,Swakopmunt (Namibia)
13242611,8816557,Luanda,Luanda (Angola)
12353000,5949058,Pointe-Noire,Pointe-Noire (Muanda)
1391308,6181000,Lom�,Lom� (Togo)
23517667,14904000,Cape Verde,Cape Verde (Praia da Quebra Canela)
7619976,33620355,Casablanca,Casablanca (Morocco)
16036022,18070618,Nouakchott,Nouakchott (Mauritania)
16554995,13551456,Banjul,Banjul (The Gambia)
13651792,9550083,Conkary,Conkary (Guinea)
13282002,8490211,Freetown,Freetown (Sierra Leone)
10805454,6302193,Monrovia,Monrovia (Liberia)
8856375,42268368,Vigo,Vigo (Spain)
16532773,28019247,El Medano,El Medano (Spain)
16911404,32636538,Funchal,Funchal (Madeira Islands)
7282467,53668167,Norden,Norden (Germany)
4462624,52282181,Katwijk,Katwijk (Netherlands)
874308,49897991,Saint-Valery-en-Caux,Saint-Valery-en-Caux (France)
4556500,50793300,Widemouth Bay,Widemouth Bay (United Kingdom)
74323657,39560467,Tuckerton,Tuckerton (USA)
63626760,44430833,Pennant Point,Pennant Point (Canada)
20225739,63412625,Vestmannaeyjar,Vestmannaeyjar (Iceland)
7194712,62306167,Tj�rnuv�k,Tj�rnuv�k (Faroe Islands)
1079675,54624623,Redcar,Redcar (United Kingdom)
8307500,54910000,Westerland,Westerland (Germany)
8181817,55768067,Blaabjerg,Blaabjerg (Denmark)
3547233,48746300,Lannion,Lannion (France)
72694822,40785999,Shirley,Shirley (USA)
74005129,40091180,Manasquan,Manasquan (USA)
72775198,40780352,Bellport,Bellport (USA)
73992947,40144224,Wall Township,Wall Township (USA)
3015117,51281450,Highbridge,Highbridge (United Kingdom)
70958460,42445862,Lynn,Lynn (USA)
63561375,44561694,Herring Cove,Herring Cove (Canada)
6125167,53396333,Dublin,Dublin (Ireland)
3029333,53639650,Southport,Southport (United Kingdom)
4586230,52487614,Beverwijk,Beverwijk (Netherlands)
5651617,50043650,Porthcurno,Porthcurno (United Kingdom)
29916843,31218970,Alexandria,Alexandria (Egypt)
35873113,34891510,Tartus,Tartus (Syria)
3115001,39291615,Ses Covetes,Ses Covetes (Spain (Majorca))
2907591,36801751,El Djemila,El Djemila (Algeria)
100104160,13041554,Petchaburi,Petchaburi (Thailand)
103859569,2435538,Mersing,Mersing (Malaysia)
103970000,1346362,Changi,Changi (Singapore)
113929371,22225280,Lantau,Lantau (Hong Kong)
121047364,13748944,Batangas,Batangas (Philippines)
121825761,24859921,Toucheng,Toucheng (Taiwan)
129195528,35178228,Pusan,Pusan (South Korea)
131562095,32218429,Miyazaki,Miyazaki (Japan)
121866844,31531777,Chongming,Chongming (China)
116747207,23345472,Shantou,Shantou (China)
139960195,34970470,Chikura,Chikura (Japan)
140741799,36792527,Kitaibaraki,Kitaibaraki (Japan)
103342584,3767462,Kuantan,Kuantan (Malaysia)
103930640,1305470,Katong,Katong (Singapore)
24006145,35521324,Chania,Chania (Greece)
32349207,34851640,Geroskipou,Geroskipou (Cyprus)
147195122,9478153,Port Moresby,Port Moresby (Papua New Guinea)
151280137,33967729,Sydney,Sydney (Australia)
80157918,25822598,Miami,Miami (USA)
86813611,21042189,Cancun,Cancun (Mexico)
87423670,20218201,Tulum,Tulum (Mexico)
88280191,17577542,Ladyville,Ladyville (Belize)
88589839,15723133,Puerto Barrios,Puerto Barrios (Guatemala)
87946189,15841425,Puerto Cortes,Puerto Cortes (Honduras)
85956091,15914488,Trojillo,Trojillo (Honduras)
83771159,15277796,Puerto Lempira,Puerto Lempira (Honduras)
83378011,14032246,Puerto Cabezas,Puerto Cabezas (Nicaragua)
